dorsal abaxial
blackish-grey black-grey
blackish-gray black-grey
bluish-white blue-white
cool-white blue-white
blue-gray blue-grey
bluish-grey blue-grey
bluish-gray blue-grey
bluish_black blue-black
brownish-black brown-black
brown-gray brown-grey
brownish-grey brown-grey
brownish-gray brown-grey
charcoal-grey charcoal
charcoal-gray charcoal
jet coal-black
jet-black coal-black
pitchy coal-black
sooty coal-black
ebony ebon
gray grey
greyish grey
grayish grey
gray-black grey-black
greyish-black grey-black
grayish-black grey-black
gray-white grey-white
greyish-white grey-white
grayish-white grey-white
greenish-gray greenish-grey
greenish-white green-white
inky ink-black
inky-black ink-black
iron-gray iron-grey
olive-gray olive-grey
oxford-gray oxford-grey
dark-grey oxford-grey
dark-gray oxford-grey
pearl_gray pearl_grey
pearly-white pearly
purplish-black purple-black
purplish-white purple-white
red-gray red-grey
reddish-grey red-grey
reddish-gray red-grey
silver-gray silver-grey
silvery-grey silver-grey
silvery-gray silver-grey
silvery-white silver-white
slate-gray slate-grey
slaty-grey slate-grey
slaty-gray slate-grey
slaty slate-grey
slatey slate-grey
stone-grey slate-grey
stone-gray slate-grey
snowy snow-white
sooty-black soot-black
off-white whitish
yellow-gray yellow-grey
yellowish-grey yellow-grey
yellowish-gray yellow-grey
yellowish-white yellow-white
pure saturated
vivid intense
colour color
black_and_white black-and-white
coloured colored
colorful colored
red crimson
reddened crimson
red-faced crimson
flushed crimson
bicolour bicolor
bicolored bicolor
bicoloured bicolor
bichrome bicolor
dichromatic bicolor
blackened black
brightly-coloured brightly-colored
buff-coloured buff-colored
chestnut-coloured chestnut-colored
chocolate-coloured chocolate-colored
cinnamon_coloured cinnamon_colored
cinnamon-colored cinnamon_colored
cinnamon-coloured cinnamon_colored
creamy-colored cream-colored
creamy-white cream-colored
dark-coloured dark-colored
dusky-colored dark-colored
dusky-coloured dark-colored
dun-coloured dun-colored
fawn-coloured fawn-colored
flame-coloured flame-colored
flesh-coloured flesh-colored
garnet-coloured garnet-colored
gingery ginger
gold-coloured gold-colored
honey-coloured honey-colored
lead-coloured lead-colored
liver liver-colored
